Date;Tavg temperatur (oC);RH_avg kelembapan (%);ss lama penyinaran matahari (jam);ff_avg kecepatan angin (Knot);RR curah hujan (mm);Price
01/01/2019;28,9;77;1;1;0;12100
02/01/2019;29;76;2,8;0;0;12100
03/01/2019;27,3;83;7,2;0;15,7;12200
04/01/2019;27,7;83;0;1;2,9;12200
05/01/2019;29,1;78;1,5;1;1,6;12200
06/01/2019;30,4;74;4;1;1,7;12200
07/01/2019;29,2;80;7,9;1;0;12150
08/01/2019;29,4;77;5;1;20;12200
09/01/2019;29,7;77;5,3;1;0,6;11950
10/01/2019;29,8;75;4,88;2;1,5;12000
11/01/2019;29,7;74;7,4;1;2,68;12000
12/01/2019;28,9;78;7,2;1;15,5;12000
13/01/2019;29;76;2;1;0;12000
14/01/2019;29,8;76;6,5;2;0;12000
15/01/2019;28,3;81;8,2;1;4;12000
16/01/2019;27,7;86;8,6;1;42,6;11950
17/01/2019;27,1;89;0;1;33;12100
18/01/2019;27,9;84;2,8;2;32,13;12100
19/01/2019;27,5;87;9;0;13,7;12100
20/01/2019;28,5;83;3,7;1;32,13;12100
21/01/2019;28,7;82;7,5;0;21,6;12100
22/01/2019;27,9;83;6,5;2;0;12100
23/01/2019;27,5;83;0,1;0;4,6;12100
24/01/2019;27,8;84;1,3;1;17,6;12100
25/01/2019;27,7;85;4,2;1;17,2;12100
26/01/2019;27,7;84;3,8;1;1,5;12100
27/01/2019;27,2;86;4,8;0;2;12100
28/01/2019;26,4;90;1,2;0;18,6;12100
29/01/2019;27,4;85;0;1;10,66;12100
30/01/2019;28,4;84;0,5;0;0;12150
31/01/2019;27,2;84;7,4;1;7,8;12150
01/02/2019;27,2;84;0,6;1;13;12150
02/02/2019;27,2;85;3,7;1;32,13;12150
03/02/2019;27,5;84;2,6;1;41;12150
04/02/2019;27,5;84;8;1;16;12150
05/02/2019;27,8;85;6,8;1;32,13;12150
06/02/2019;28,5;81;6,8;1;26,8;12100
07/02/2019;27,7;85;6,2;1;8,7;12100
08/02/2019;28,4;82;6,5;0;7,7;12100
09/02/2019;28,8;82;5,2;1;0;12100
10/02/2019;29,4;78;5,9;1;1,6;12100
11/02/2019;28,7;80;6,8;1;12,9;12100
12/02/2019;27,6;84;4,2;1;7,5;12100
13/02/2019;29;78;0,6;1;3,4;12100
14/02/2019;27,8;84;8;1;5;12100
15/02/2019;29,1;79;2;2;6,5;12100
16/02/2019;29;79;8,2;2;1,4;12100
17/02/2019;29,4;75;8,8;1;0;12100
18/02/2019;29,2;76;8,2;1;0,3;12100
19/02/2019;28,2;81;5,1;1;0;12100
20/02/2019;28,2;84;3,2;1;21,62;12100
21/02/2019;28,1;81;0,4;1;12,4;12100
22/02/2019;28,6;80;1,5;1;0;12100
